num,bottom_left,top_right,type
water_1,"44,50","116,130",WATER
eengezinswoning_1,"2, 47","10, 39",EENGEZINSWONING
eengezinswoning_2,"150, 88","158, 80",EENGEZINSWONING
eengezinswoning_3,"2, 178","10, 170",EENGEZINSWONING
eengezinswoning_4,"87, 178","95, 170",EENGEZINSWONING
eengezinswoning_5,"2, 68","10, 60",EENGEZINSWONING
maison_11,"88, 16","100, 6",MAISON
eengezinswoning_6,"133, 27","141, 19",EENGEZINSWONING
bungalow_1,"33, 128","44, 121",BUNGALOW
eengezinswoning_7,"98, 159","106, 151",EENGEZINSWONING
eengezinswoning_8,"129, 157","137, 149",EENGEZINSWONING
eengezinswoning_9,"132, 10","140, 2",EENGEZINSWONING
maison_12,"6, 108","18, 98",MAISON
bungalow_2,"113, 177","124, 170",BUNGALOW
eengezinswoning_10,"132, 72","140, 64",EENGEZINSWONING
bungalow_3,"116, 92","127, 85",BUNGALOW
eengezinswoning_11,"2, 144","10, 136",EENGEZINSWONING
eengezinswoning_12,"133, 136","141, 128",EENGEZINSWONING
eengezinswoning_13,"91, 138","99, 130",EENGEZINSWONING
eengezinswoning_14,"49, 155","57, 147",EENGEZINSWONING
bungalow_4,"146, 114","157, 107",BUNGALOW
eengezinswoning_15,"150, 10","158, 2",EENGEZINSWONING
eengezinswoning_16,"25, 45","33, 37",EENGEZINSWONING
eengezinswoning_17,"150, 148","158, 140",EENGEZINSWONING
eengezinswoning_18,"150, 27","158, 19",EENGEZINSWONING
bungalow_5,"66, 137","77, 130",BUNGALOW
maison_13,"107, 50","119, 40",MAISON
eengezinswoning_19,"22, 157","30, 149",EENGEZINSWONING
maison_14,"45, 16","57, 6",MAISON
bungalow_6,"3, 10","14, 3",BUNGALOW
eengezinswoning_20,"15, 46","23, 38",EENGEZINSWONING
bungalow_7,"116, 117","127, 110",BUNGALOW
eengezinswoning_21,"112, 143","120, 135",EENGEZINSWONING
bungalow_8,"146, 177","157, 170",BUNGALOW
eengezinswoning_22,"76, 159","84, 151",EENGEZINSWONING
eengezinswoning_23,"13, 57","21, 49",EENGEZINSWONING
eengezinswoning_24,"62, 178","70, 170",EENGEZINSWONING
bungalow_9,"34, 177","45, 170",BUNGALOW
maison_15,"64, 50","76, 40",MAISON
bungalow_10,"146, 52","157, 45",BUNGALOW
maison_16,"32, 84","44, 74",MAISON
